,Unnamed: 0,name,type,IMDb,originalName,foreignName,nickname,romanPinyin,notableWork,debutWork,activeTime,debutTime,birthPlace,deathPlace,award,language,website,almaMater,education,religion,nationality,ethnicity,agency,hasSibling,hasSpouse,hasParent,hasChild,works
0,215232,['金·凯特罗'],['actor'],['0000326'],['金·维多利亚·凯特罗Kim Victoria Cattrall'],['Kim Cattrall'],[],[],[],[],[],[],"{'country': 'GBR', 'state': 'England', 'city': 'Liverpool'}",{},['金球奖最佳电视女配角影视演员协会奖喜剧类最佳整体效果奖'],['英语'],[],[],[],[],{},[],[],[],[],[],[],[]
1,215356,['谢安琪'],['actor'],['3280986'],['曲'],['Kay Tse'],"['檬姐', '浦铭心', '女神', '人妻Kay', 'Kay BB', '平民天后', '香港乐坛的民主女神', 'B餐']",['Tse On Kay'],"['《Kontinue》', '《独家村》', '《你们的幸福》', '《 The Album 》', '《钟无艳》', '《罗生门》', '《Binary》', '《囍帖街》']",['《姿色份子》'],"['2005年-2016年', '2018年-2021年']",['2005年'],{},{},"['CASH最佳女歌手', '港台最优秀流行女歌手大奖', '叱咤我最喜爱的女歌手', '叱咤乐坛女歌手金奖', '四台联颁传媒大奖']",['粤语、国语、英语'],[],['大埔浸信会公立学校恩主教书院香港公开大学香港大学文学院'],['恩主教书院预科毕业香港公开大学翻译及语言学荣誉文学士香港大学荣誉文学士（美国研究）'],['基督教'],{},[],['Ban Ban Music（2005年－2017年） 幻国文化娱乐（2017年－2020年）'],[],[],[],[],"['《Kontinue》', '《独家村》', '《你们的幸福》', '《 The Album 》', '《钟无艳》', '《罗生门》', '《Binary》', '《囍帖街》', '《姿色份子》']"
2,215963,['甘国亮'],['actor'],['0304065'],[],[],['甘生'],['Kam Kwok-Leung'],[],[],[],[],{},{},[],[],[],['粤华中学'],[],[],"{'country': 'CHN', 'state': 'Guangxi Zhuangzu Zizhiqu', 'city': ''}",[],[],[],['郑裕玲'],[],[],[]
3,216081,['秦沛'],['actor'],['0157971'],['姜昌年'],['Paul Chun'],['Paul哥'],['Chun Pui'],[],[],['1966年-2021年'],[],"{'country': 'JPN', 'state': '岩手県', 'city': ''}",{},[],['粤语、吴语、国语、英语、日语'],[],['九龙塘学校（小学部）香港华仁书院'],['中学肄业'],[],"{'country': 'CHN', 'state': '江苏省', 'city': '苏州市'}",['1/2汉族 1/4满族 1/4蒙古族 （外公是满族人，外婆为蒙古人）林燕妮访秦沛：电视剧方面我是Living\u3000History，活生生的历史'],['佳艺电视（1976年－1978年）丽的电视（1979年－1981年）无线电视（1981年－1989年、1997年－2012年）亚洲电视（1989年－1997年）香港电视网络'],[],"['梁盛子','森下绘梨']","['严化','红薇']","['姜文杰','姜丽文']",[]
4,216870,['刘品言'],['actor'],['4411342'],['刘品言'],['Esther Liu'],['言言'],['Liu Pin-yan'],"['《绿光森林》', '《格斗天王》', '《仙剑奇侠传》', '《西街少年》', '《麻醉风暴2金孙》', '《阵头》', '《愤怒的菩萨》', '《鸡排英雄》']",['《爱是怎么一回事》'],['2003年-2021年'],['2002年'],"{'country': 'TWN', 'state': '台北市', 'city': '信義區'}",{},[],['国语、台语、英语、法语'],[],[],['台北市立天母国民中学第十届毕业生私立泰北高级中学巴黎国际时装艺术学院时尚管理学系学士'],[],"{'country': 'TWN', 'state': '台北市', 'city': '信義區'}",[],['红橘子娱乐（2002年－2007年）享鸿娱乐（合作关系，2008－2009)鸿言娱乐（台湾，2011年－至今）海润影视集团（中国大陆，2015年－2017年）齐石传播（2019年－2020年3月）'],[],[],[],[],"['《绿光森林》', '《格斗天王》', '《仙剑奇侠传》', '《西街少年》', '《麻醉风暴2金孙》', '《阵头》', '《愤怒的菩萨》', '《鸡排英雄》', '《爱是怎么一回事》']"
5,216876,['曾之乔'],['actor'],['1784950'],[],['Joanne Tseng'],['乔乔'],[],"['《紫禁之巅》', '《必娶女人》', '《我的宝贝四千金》', '《后菜鸟的灿烂时代》', '《爱情魔发师》', '《稍息立正我爱你》']",[],['2020年-2021年'],[],"{'country': 'TWN', 'state': '新竹縣', 'city': '竹北市'}",{},[],['国语、英语、泰雅语'],[],[],['圣心女中国中部庄敬高职电影电视科毕业国立台湾艺术大学戏剧与剧场应用系学士'],[],{},['泰雅族'],['红橘子娱乐（2002年）宝达娱乐华研国际音乐（2014年至今）'],[],[],[],[],"['《紫禁之巅》', '《必娶女人》', '《我的宝贝四千金》', '《后菜鸟的灿烂时代》', '《爱情魔发师》', '《稍息立正我爱你》']"
6,217341,['梅小惠'],['actor'],['00611320'],[],['Cutie Mui'],[],['Mui Siu Wai'],"['《他来自江湖》', '《皆大欢喜》']",[],[],[],"{'country': 'HKG', 'state': '香港', 'city': '中環'}",{},[],[],[],['香港汉文师范同学会附属学校圣玛加利女书院'],['中五'],[],"{'country': 'CHN', 'state': 'Fujian', 'city': ''}",[],['无线电视（1987年-2004年）'],"['梅小青','梅小玲','梅尚仁','梅尚智']",[],[],[],"['《他来自江湖》', '《皆大欢喜》']"
7,218010,['王伟'],['actor'],['0939383'],['王永伟'],[],[],['Wong Wai'],['《\n》'],[],['1960年-2000年'],['1963年'],"{'country': 'CHN', 'state': '山东省', 'city': '日照市'}",{},[],['粤语、英语、普通话'],[],['培侨中学'],['中学'],['佛教'],"{'country': 'CHN', 'state': '山东省', 'city': '日照市'}",['汉族'],['亚洲电视（1977至1989年）无线电视（1972至1977年，1989至2002年）'],[],[],[],"['王从奕','王从希']",['《\n》']
8,218698,['苏民峰'],['actor'],[],['苏民立'],[],[],[],[],[],['1983年-2021年'],[],"{'country': 'HKG', 'state': '九龍', 'city': '何文田'}",{},[],['粤语、普通话、英语'],['www.masterso.com/'],[],[],[],{},[],[],[],[],[],[],[]
9,218837,['郎雄'],['actor'],['0485950'],[],['Paul Lung'],"['郎爷爷', '郎叔']",['Sihung Lung'],[],['《苦情花》'],[],['1970年'],"{'country': 'CHN', 'state': '江苏省', 'city': '宿迁市'}","{'country': 'TWN', 'state': '台北市', 'city': '信義區'}",['金马奖'],[],[],[],[],['天主教'],"{'country': 'CHN', 'state': '江苏省', 'city': '宿迁市'}",['满族'],[],[],['包珈'],[],[],['《苦情花》']
