name,IMDb,originalName,foreignName,nickname,romanPinyin,type,job,notableWork,debutWork,activeYear,debutDate,birthPlace,deathPlace,award,language,website,motherSchool,education,religion,nationality,ethnicity,agency,hasRelative,hasSpouse,hasParent,hasChild
['金·凯特罗'],['0000326'],['金·维多利亚·凯特罗Kim Victoria Cattrall'],['Kim Cattrall'],[],[],['女演员'],['演员'],[],[],[],[],['利物浦'],[],['金球奖最佳电视女配角影视演员协会奖喜剧类最佳整体效果奖'],['英语'],[],[],[],[],[],[],[],[],[],[],[]
['谢安琪'],['3280986'],"['曲', '曲', '曲《[[囍帖街 (歌曲)|囍帖街]]》<ref>{{Cite web |url=http://www.sinchew.com.my/node/451926 |title=谢安琪──草根天后传奇 |date=2009-03-13 |publisher=星洲网娱乐 |access-date=2018-07-09 |archive-url=https://web.archive.org/web/20180710010507/http://www.sinchew.com.my/node/451926 |archive-date=2018-07-10 |dead-url=no }}</ref><ref name=""ent.sina"">{{Cite web |url=http://ent.sina.com.cn/y/2009-05-25/15582537080.shtml |title=新浪独家对话谢安琪：看淡“天后” 将演荒诞片 |date=2009-05-25 |publisher=新浪音乐 |access-date=2018-07-09 |archive-url=https://web.archive.org/web/20180709215709/http://ent.sina.com.cn/y/2009-05-25/15582537080.shtml |archive-date=2018-07-09 |dead-url=no }}</ref>；2009年首次举办[[红馆]]个人演唱会', '曲《热咖啡》及与谢安琪合唱《用爱将心偷》']",['Kay Tse'],['香港乐坛的民主女神、平民天后、人妻Kay、浦铭心、女神、B餐、檬姐、Kay BB'],['Tse On Kay'],['女艺人'],['歌手、演员'],['歌曲：\n《钟无艳》(2007)《囍帖街》(2008)《你们的幸福》(2011）《独家村》(2014)《罗生门》(2015) 专辑：\n《Binary》《Kontinue》《 The Album 》合辑系列'],['《姿色份子》 (2005)'],['2005年－2016年、2018年—'],['2005'],[],[],['叱咤乐坛女歌手金奖 (2018、2019)  港台最优秀流行女歌手大奖（2018、2019）CASH最佳女歌手（2006、2008、2009、2011、2015）四台联颁传媒大奖（2008） 叱咤我最喜爱的女歌手（2008、2014、2015、2018） 香港十大杰出青年（2010）香港高登女神选举冠军（2012、2013、2014、2015）'],['粤语、国语、英语'],[],['大埔浸信会公立学校恩主教书院香港公开大学香港大学文学院'],['恩主教书院预科毕业香港公开大学翻译及语言学荣誉文学士香港大学荣誉文学士（美国研究）'],['基督教'],[],[],['Ban Ban Music（2005年－2017年） 幻国文化娱乐（2017年－2020年）'],[],[],[],[]
['甘国亮'],['0304065'],[],"[' ', ' ']",['甘生'],['Kam Kwok-Leung'],['幕后'],[],[],[],[],[],[],[],[],[],[],['粤华中学'],[],[],['广西'],[],[],[],['郑裕玲'],[],[]
['秦沛'],['0157971'],['姜昌年'],['Paul Chun'],['Paul哥'],['Chun Pui'],['男演员'],['演员'],[],[],['1966年至今'],[],['北平市'],[],[],['粤语、吴语、国语、英语、日语'],[],['九龙塘学校（小学部）香港华仁书院'],['中学肄业'],[],['江苏苏州'],['1/2汉族 1/4满族 1/4蒙古族 （外公是满族人，外婆为蒙古人）林燕妮访秦沛：电视剧方面我是Living\u3000History，活生生的历史'],['佳艺电视（1976年－1978年）丽的电视（1979年－1981年）无线电视（1981年－1989年、1997年－2012年）亚洲电视（1989年－1997年）香港电视网络'],[],"['梁盛子','森下绘梨']","['严化','红薇']","['姜文杰','姜丽文']"
['刘品言'],['4411342'],['刘品言'],['Esther Liu'],['言言'],['Liu Pin-yan'],['女艺人'],['演员 、歌手 、主持人'],['连续剧：仙剑奇侠传、绿光森林、格斗天王、西街少年、愤怒的菩萨、麻醉风暴2电影：金孙、鸡排英雄、阵头'],['《爱是怎么一回事》'],['2003年至今'],['2002年'],['台北市'],[],['其中四个奖'],['国语、台语、英语、法语'],[],[],['台北市立天母国民中学第十届毕业生私立泰北高级中学巴黎国际时装艺术学院时尚管理学系学士'],[],['台湾台北市'],[],['红橘子娱乐（2002年－2007年）享鸿娱乐（合作关系，2008－2009)鸿言娱乐（台湾，2011年－至今）海润影视集团（中国大陆，2015年－2017年）齐石传播（2019年－2020年3月）'],[],[],[],[]
['曾之乔'],['1784950'],[],['Joanne Tseng'],['乔乔'],[],['女艺人'],['演员、歌手、主持人'],['《紫禁之巅》《爱情魔发师》《我的宝贝四千金》《必娶女人》《稍息立正我爱你》《后菜鸟的灿烂时代》'],[],['2020年至今'],[],['新竹县'],[],[],['国语、英语、泰雅语'],[],[],['圣心女中国中部庄敬高职电影电视科毕业国立台湾艺术大学戏剧与剧场应用系学士'],[],[],['泰雅族'],['红橘子娱乐（2002年）宝达娱乐华研国际音乐（2014年至今）'],[],[],[],[]
['梅小惠'],['00611320'],[],['Cutie Mui'],[],['Mui Siu Wai'],['女演员'],[],['他来自江湖、皆大欢喜、皆大欢喜'],[],[],[],[],[],[],[],[],['香港汉文师范同学会附属学校圣玛加利女书院'],['中五'],[],['广东台山'],[],['无线电视（1987年-2004年）'],"['梅小青','梅小玲','梅尚仁','梅尚智']",[],[],[]
['王伟 (香港)'],['0939383'],['王永伟'],[' '],[],['Wong Wai'],['男演员'],['演员'],['电视剧：\n电影：'],[],['1960至2000年代'],['1963年'],[],[],[],['粤语、英语、普通话'],[],['培侨中学'],['中学'],['佛教'],['山东省'],['汉族'],['亚洲电视（1977至1989年）无线电视（1972至1977年，1989至2002年）'],[],[],[],"['王从奕','王从希']"
['苏民峰'],[],['苏民立'],[],[],[],[],['堪舆学家'],[],[],['1983年至今'],[],['九龙寨城'],[],[],['粤语、普通话、英语'],['www.masterso.com/'],[],[],[],[],[],[],[],[],[],[]
['郎雄'],['0485950'],[],['Paul Lung'],['郎叔、郎爷爷'],['Sihung Lung'],['男演员'],['演员'],[],['电视剧《苦情花》'],['20世纪'],['1970年'],['江苏省宿迁'],['台北市振兴医院'],['金马奖'],[],[],[],[],['天主教'],['江苏宿迁'],['满族'],[],[],['包珈'],[],[]
